stage,pool,feature_set,N,retrieval,top1,top5,mrr,chance,n_units,seed
baseline,within-archetype,rhythm,1,matched-C10,0.1574900253536274,0.5810780076003641,,0.1,4792,
baseline,within-archetype,role,1,full-pool,0.047787979966611,0.1617278797996661,0.1216859876094492,0.0102253756260435,4792,
baseline,within-archetype,role,1,matched-C10,0.2301151336250038,0.6678708134623575,,0.1,4792,
baseline,within-archetype,both,1,full-pool,0.0473706176961602,0.1396076794657763,0.1128887816520154,0.0102253756260435,4792,
baseline,within-archetype,both,1,matched-C10,0.2045153361309254,0.6397135115948194,,0.1,4792,
baseline,within-archetype,cardseq,3,full-pool,0.0681943677526228,0.2134180011043622,0.1563327158257048,0.0135284373274431,3622,
baseline,within-archetype,cardseq,3,matched-C10,0.2490938752721887,0.7017230126378253,,0.1,3622,
baseline,within-archetype,rhythm,3,full-pool,0.0513528437327443,0.172832689122032,0.1324408398410448,0.0135284373274431,3622,
baseline,within-archetype,rhythm,3,matched-C10,0.2137464661857999,0.6699646046001833,,0.1,3622,
baseline,within-archetype,role,3,full-pool,0.0993926007730535,0.2730535615681944,0.1971157632193901,0.0135284373274431,3622,
baseline,within-archetype,role,3,matched-C10,0.3067567824147161,0.7728924282865738,,0.1,3622,
baseline,within-archetype,both,3,full-pool,0.1024295969077857,0.2769188293760353,0.2011417192473803,0.0135284373274431,3622,
baseline,within-archetype,both,3,matched-C10,0.3091868116952651,0.7505131032600061,,0.1,3622,
baseline,within-archetype,cardseq,5,full-pool,0.0892205638474295,0.2613598673300166,0.1899761342052884,0.0162520729684907,3015,
baseline,within-archetype,cardseq,5,matched-C10,0.2730330428553831,0.7381634902406459,,0.1,3015,
baseline,within-archetype,rhythm,5,full-pool,0.0666666666666666,0.2195688225538971,0.1615261080413531,0.0162520729684907,3015,
baseline,within-archetype,rhythm,5,matched-C10,0.2331172038087854,0.7007584019623494,,0.1,3015,
baseline,within-archetype,role,5,full-pool,0.1243781094527363,0.3499170812603648,0.2443753666277501,0.0162520729684907,3015,
baseline,within-archetype,role,5,matched-C10,0.3527408257234007,0.8188661765203809,,0.1,3015,
baseline,within-archetype,both,5,full-pool,0.1359867330016583,0.3343283582089552,0.2452319519328613,0.0162520729684907,3015,
